name,inventory_type,extant_status,street_address,neighborhood,city,postal_code,explore_url,wikipedia_url,explore_id,identifier:mihp,building_use,associated_people,associated_organizations,full_description,year_built,chap_district,city_council_district,latitude,longitude,stabilization_potential,at_risk,featured-context,year_nonextant,year_start_significance,year_end_significance,property_type,related_context,related_theme,alternate_name,marker-color,marker-symbol,featured_description,description_source,description_status,state,geo_accuracy,marker-size,related_sources,chap_landmark,nr_district_contributing,nr_district,nr_landmark,image_url_manual,image_caption,image_credit,tags,streetview_url,streetname,possible_duplicate,explore_todo,Record Created
208 W. Pleasant Street,building,Nonextant,208 W. Pleasant Street,Downtown,Baltimore,21201,,,,B-2130,Dwelling,,,,,,11,39.29370890,-76.61870550,,,,,,,,,,,f59477,building,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2937089,-76.6187055",,,,7/20/2017 12:48pm
210 W. Pleasant Street,building,Nonextant,210 W. Pleasant Street,Downtown,Baltimore,21201,,,,B-2131,Dwelling,,,,,,11,39.29370370,-76.61875800,,,,,,,,,,,f59477,building,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2937037,-76.618758",,,,7/20/2017 12:48pm
1700 block of Pennsylvania Avenue (Retail businesses),district,Unknown,1700 Pennsylvania Avenue,Upton,Baltimore,21217,,,,,Commercial building,,,Organized protests at this location for the Don't Buy Where you Can't work campaign. This may be a duplicate entry with the A&P Market.,,,11,39.30395740,-76.63544280,,,,,,,,1929-1954,Employment,,f7a38b,clothing-store,,,notes,MD,house,medium,,Old West Baltimore NR HD,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3039574,-76.6354428",,Y,,7/20/2017 12:48pm
1800 block of McCoullough Street,district,Partial,1805 McCullough Street,Madison Park,Baltimore,21217,,,,,Building,,,,,,11,39.30665000,-76.63282000,,,,,,,Conflict Center,1905-1929,Housing,,d63b0e,building,,,missing,MD,8,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30665,-76.63282",,,,7/20/2017 12:48pm
A&P Market,building,Unknown,1737 Pennsylvania Avenue,Upton,Baltimore,21217,,,,,Commercial building,,,"The A&P Market only hired white employees up through the 1930s when the ""Buy where you can work"" campaign focused on hiring practices by businesses along Pennsylvania Avenue targeted this store and others and forced them to begin hiring black workers.",,,11,39.30436340,-76.63529548,,,,,,,Conflict Center,1929-1954,Employment,,f7a38b,grocery,,,notes,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3043634,-76.6352954752784",,,,7/20/2017 12:48pm
Adams Real Estate Office,building,Extant,1207 W. Lanvale Street,,Baltimore,21217,,,,,,"""William L. """"Willie"""" Adams""",,,,,,39.29765200,-76.64029970,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,7/20/2017 12:48pm
Adams Realty Brokers (Club Casino),building,Extant,1513-1519 Pennsylvania Avenue,Upton,Baltimore,21217,,,,,Commercial building,"""William L. """"Willie"""" Adams""",,,,,11,39.30241100,-76.63309300,,,,,,,,,Housing,,d63b0e,suitcase,,,missing,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.302411,-76.633093",,,,7/20/2017 12:48pm
Adams-Quille Residence,building,Extant,313 Mosher Street,,Baltimore,21217,,,,,Dwelling,"""William L. """"Willie"""" Adams"",Victorine Q. Adams",,Residence in 1935 appeared with wedding annoucnement,,,,39.30487660,-76.63073420,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,7/20/2017 12:48pm
African-American School No. 9,building,Extant,1431 N. Carey Street,Sandtown-Winchester,Baltimore,21217,,https://en.wikipedia.org/wiki/Public_School_No._111,,B-4467,School,,,This is a historically segregated black school originally designed by architect Alfred Mason.,1897,,7,39.30633005,-76.63940591,,checked,1870-1905,,,,,"1870-1905,1905-1929,1929-1954",Education,"Colored School No. 9, Public School # 112, Robert Brown Elliott School #104",d63b0e,school,,Maryland Inventory of Historic Places,notes,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30633005,-76.6394059112717",Carey,,,7/20/2017 12:48pm
Afro-American Newspaper (Office),building,Nonextant,307 Saint Paul Street,Downtown,Baltimore,21202,,,,,,Carl J. Murphy,,Approximate location of the offices for the Afro-American Newspaper from 1899 to c. 1915 - 307 St. Paul Street.,,,11,39.29267304,-76.61370099,,,,,,,,1870-1905,,,#7e7e7e,commercial,,,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29267304,-76.61370099",,,,7/20/2017 12:48pm
